original_field,mapped_field,count,sample_files
22. THE PRINCIPAL CAUSE OF DEATH - Duration - 2,22. THE PRINCIPAL CAUSE OF DEATH - Duration - 2,1,"Tyler, James.txt"
22. THE PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows,22. THE PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows,1,"Ennis, Emanuel.txt"
22. THE PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows:,22. THE PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows:,1,"Williams, Frank.txt"
22. to have occurred on the date stated above,22. to have occurred on the date stated above,1,"Williams, Frank.txt"
23. Accident,23. Accident,1,"Williams, Frank.txt"
23. If death was due to external causes (VIOLENCE) - Manner of Injury,23. If death was due to external causes (VIOLENCE) - Manner of Injury,1,"Clayton, Paul.txt"
23. If death was due to external causes (VIOLENCE) - Manner of injury,23. If death was due to external causes (VIOLENCE) - Manner of injury,1,"Hunter, George W.txt"
23. If death was due to external causes (VIOLENCE) - Year of injury,23. If death was due to external causes (VIOLENCE) - Year of injury,1,"Clayton, Paul.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following - (Specify city or town,23. If death was due to external causes (VIOLENCE) fill in also the following - (Specify city or town,1,"Tyler, James.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following - Accident,23. If death was due to external causes (VIOLENCE) fill in also the following - Accident,1,"Tyler, James.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following - Date of Injury,23. If death was due to external causes (VIOLENCE) fill in also the following - Date of Injury,1,"Tyler, James.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following - Manner of Injury,23. If death was due to external causes (VIOLENCE) fill in also the following - Manner of Injury,1,"Tyler, James.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following - Nature of Injury,23. If death was due to external causes (VIOLENCE) fill in also the following - Nature of Injury,1,"Tyler, James.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following - Specify whether injury occurred in INDUSTRY,23. If death was due to external causes (VIOLENCE) fill in also the following - Specify whether injury occurred in INDUSTRY,1,"Tyler, James.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following - Where did injury occur?,23. If death was due to external causes (VIOLENCE) fill in also the following - Where did injury occur?,1,"Tyler, James.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Date of Injury,23. If death was due to external causes (VIOLENCE) fill in also the following: Date of Injury,1,"Ennis, Emanuel.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Date of injury (Year),23. If death was due to external causes (VIOLENCE) fill in also the following: Date of injury (Year),1,"Hall, Thomas.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Date of injury 19...,23. If death was due to external causes (VIOLENCE) fill in also the following: Date of injury 19...,1,"Saunders, Richard E.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Manner of Injury,23. If death was due to external causes (VIOLENCE) fill in also the following: Manner of Injury,1,"Ennis, Emanuel.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Nature of Injury,23. If death was due to external causes (VIOLENCE) fill in also the following: Nature of Injury,1,"Ennis, Emanuel.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Specify city or town,23. If death was due to external causes (VIOLENCE) fill in also the following: Specify city or town,1,"Hall, Thomas.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Where did injury occur? (Specify city or town,23. If death was due to external causes (VIOLENCE) fill in also the following: Where did injury occur? (Specify city or town,1,"Ennis, Emanuel.txt"
24. M. D.,24. M. D.,1,"Ennis, Emanuel.txt"
24. M. O.,24. M. O.,1,"Ames Jr, Fred .txt"
24. M.D.,24. M.D.,1,"Williams, Frank.txt"
24. Signed - Name,24. Signed - Name,1,"Clayton, Paul.txt"
24. Signed - Title,24. Signed - Title,1,"Clayton, Paul.txt"
24. Signed M. D.,24. Signed M. D.,1,"Hunter, George W.txt"
24. Was disease or injury in any way related to occupation of deceased? If so,24. Was disease or injury in any way related to occupation of deceased? If so,1,"Hunter, George W.txt"
"3 SEX,Male",SEX,1,"Campbell, Francis.txt"
3 Sex,SEX,1,"Jacobs, Edward.txt"
"4 COLOR OR RACE,Colored",COLOR_OR_RACE,1,"Campbell, Francis.txt"
4 Color or Race,COLOR_OR_RACE,1,"Jacobs, Edward.txt"
5 DATE OF BIRTH Day,5 DATE OF BIRTH Day,1,"Parker, William.txt"
5 DATE OF BIRTH Month,5 DATE OF BIRTH Month,1,"Parker, William.txt"
5 DATE OF BIRTH Year,5 DATE OF BIRTH Year,1,"Parker, William.txt"
5 Marital Status,5 Marital Status,1,"Jacobs, Edward.txt"
"5 SINGLE, MARRIED, WIDOWED OR DIVORCED","5 SINGLE, MARRIED, WIDOWED OR DIVORCED",1,"Dennis, Louis.txt"
"5 SINGLE, MARRIED, WIDOWED OR DIVORCED (Write the word)","5 SINGLE, MARRIED, WIDOWED OR DIVORCED (Write the word)",1,"Dennis, Irvin.txt"
"5 SINGLE, MARRIED, WIDOWED, OR DIVORCED (Write the word)",SINGLE_MARRIED_WIDOWED_DIVORCED_,1,"Tilghman, John W.txt"
"5 SINGLE, MARRIED, WIDOWED, OR DIVORCED (Write the word),Single",SINGLE_MARRIED_WIDOWED_DIVORCED_,1,"Campbell, Francis.txt"
5. MARITAL STATUS,5. MARITAL STATUS,1,"Marshall, William.txt"
"6 DATE OF BIRTH (Day),7",DATE_OF_BIRTH_Day,1,"Campbell, Francis.txt"
"6 DATE OF BIRTH (Month),Sept.",DATE_OF_BIRTH_Month,1,"Campbell, Francis.txt"
"6 DATE OF BIRTH (Year),1914",DATE_OF_BIRTH_Year,1,"Campbell, Francis.txt"
6 DATE OF BIRTH - (Day),DATE_OF_BIRTH_Day,1,"Landman, Milton.txt"
6 DATE OF BIRTH - (Month),DATE_OF_BIRTH_Month,1,"Landman, Milton.txt"
6 DATE OF BIRTH - (Year),DATE_OF_BIRTH_Year,1,"Landman, Milton.txt"
6 Date of Birth (Day),DATE_OF_BIRTH_Day,1,"Jacobs, Edward.txt"
6 Date of Birth (Month),DATE_OF_BIRTH_Month,1,"Jacobs, Edward.txt"
6 Date of Birth (Year),DATE_OF_BIRTH_Year,1,"Jacobs, Edward.txt"
6 SINGLE,6 SINGLE,1,"Hill Jr, Samuel.txt"
6. DATE OF BIRTH (day),6. DATE OF BIRTH (day),1,"Williams, Frank.txt"
6. DATE OF BIRTH (month),DATE_OF_BIRTH_(month_day_and_year),1,"Williams, Frank.txt"
6. DATE OF BIRTH (year),6. DATE OF BIRTH (year),1,"Williams, Frank.txt"
6. DATE OF BIRTH - Day,6. DATE OF BIRTH - Day,1,"Marshall, William.txt"
6. DATE OF BIRTH - Month,DATE_OF_BIRTH_(month_day_and_year),1,"Marshall, William.txt"
6. DATE OF BIRTH - Year,6. DATE OF BIRTH - Year,1,"Marshall, William.txt"
7 AGE (Ds),7 AGE (Ds),1,"McDonald, Edward.txt"
7 AGE (IF LESS THAN 1 day ____ hrs. or ____ min.),7 AGE (IF LESS THAN 1 day ____ hrs. or ____ min.),1,"Carter, William Arthur.txt"
"7 AGE (IF LESS THAN 1 day) hrs.,","7 AGE (IF LESS THAN 1 day) hrs.,",1,"Campbell, Francis.txt"
"7 AGE (IF LESS THAN 1 day) min.?,","7 AGE (IF LESS THAN 1 day) min.?,",1,"Campbell, Francis.txt"
7 AGE (If LESS than 1 day...hrs),7 AGE (If LESS than 1 day...hrs),1,"Tilghman, John W.txt"
7 AGE (If LESS than 1 day...min),7 AGE (If LESS than 1 day...min),1,"Tilghman, John W.txt"
7 AGE (If less than 1 day - hours),7 AGE (If less than 1 day - hours),1,"Jones, Paul.txt"
7 AGE (If less than 1 day - minutes),7 AGE (If less than 1 day - minutes),1,"Jones, Paul.txt"
7 AGE (It LESS than 1 day... hrs),7 AGE (It LESS than 1 day... hrs),1,"Joffey, Benjamin.txt"
7 AGE (It LESS than 1 day... min),7 AGE (It LESS than 1 day... min),1,"Joffey, Benjamin.txt"
7 AGE (Mos),7 AGE (Mos),1,"McDonald, Edward.txt"
7 AGE (Yrs),7 AGE (Yrs),1,"McDonald, Edward.txt"
7 AGE (if LESS than 1 day... hrs. OR min.?),7 AGE (if LESS than 1 day... hrs. OR min.?),1,"Jenkins, John F.txt"
7 AGE - Days,7 AGE - Days,1,"Russell, Coley.txt"
7 AGE - Ds,7 AGE - Ds,1,"Hill Jr, Samuel.txt"
7 AGE - Ds.,7 AGE - Ds.,1,"Jones, James.txt"
7 AGE - IF LESS than 1 day... hrs.,7 AGE - IF LESS than 1 day... hrs.,1,"Dennis, Irvin.txt"
7 AGE - IF LESS than 1 day... min.,7 AGE - IF LESS than 1 day... min.,1,"Dennis, Irvin.txt"
7 AGE - If LESS than 1 day... hrs.,7 AGE - If LESS than 1 day... hrs.,1,"White, Matthew.txt"
7 AGE - If LESS than 1 day... min.,7 AGE - If LESS than 1 day... min.,1,"White, Matthew.txt"
7 AGE - If less than 1 day - Hours,7 AGE - If less than 1 day - Hours,1,"Russell, Coley.txt"
7 AGE - If less than 1 day - Minutes,7 AGE - If less than 1 day - Minutes,1,"Russell, Coley.txt"
7 AGE - Mes,7 AGE - Mes,1,"Hill Jr, Samuel.txt"
7 AGE - Months,7 AGE - Months,1,"Russell, Coley.txt"
7 AGE - Mos.,7 AGE - Mos.,1,"Jones, James.txt"
7 AGE - Years,7 AGE - Years,1,"Russell, Coley.txt"
7 AGE - Yrs,7 AGE - Yrs,1,"Hill Jr, Samuel.txt"
7 AGE - Yrs.,7 AGE - Yrs.,1,"Jones, James.txt"
7 AGE - da.,7 AGE - da.,1,"White, Matthew.txt"
7 AGE Ds,7 AGE Ds,1,"Blanks, James.txt"
7 AGE Ds.,7 AGE Ds.,1,"Thomas, Joe.txt"
7 AGE IF LESS THAN 1 day (hrs),7 AGE IF LESS THAN 1 day (hrs),1,"Evans, James.txt"
7 AGE IF LESS THAN 1 day (min),7 AGE IF LESS THAN 1 day (min),1,"Evans, James.txt"
"7 AGE IF LESS THAN 1 day, hrs.","7 AGE IF LESS THAN 1 day, hrs.",1,"Dennis, Louis.txt"
7 AGE IF LESS than 1 day,7 AGE IF LESS than 1 day,1,"Dorsey, Henry.txt"
7 AGE IF LESS than 1 day (Hours),7 AGE IF LESS than 1 day (Hours),1,"Wall, Jesse.txt"
7 AGE IF LESS than 1 day (Minutes),7 AGE IF LESS than 1 day (Minutes),1,"Wall, Jesse.txt"
7 AGE IF LESS than 1 day ds.,7 AGE IF LESS than 1 day ds.,1,"Booze Jr, William.txt"
7 AGE IF LESS than 1 day hrs,7 AGE IF LESS than 1 day hrs,1,"Martin, Mitchell.txt"
7 AGE IF LESS than 1 day hrs.,7 AGE IF LESS than 1 day hrs.,1,"Booze Jr, William.txt"
7 AGE IF LESS than 1 day min,7 AGE IF LESS than 1 day min,1,"Martin, Mitchell.txt"
7 AGE IF LESS than 1 day min.?,7 AGE IF LESS than 1 day min.?,1,"Booze Jr, William.txt"
7 AGE If LESS than 1 day hrs.,7 AGE If LESS than 1 day hrs.,1,"Preston, Daniel.txt"
"7 AGE If LESS than 1 day, hrs.","7 AGE If LESS than 1 day, hrs.",1,"Brown, Thomas.txt"
"7 AGE If LESS than 1 day, hrs. OR min.?","7 AGE If LESS than 1 day, hrs. OR min.?",1,"Johnson, Oscar.txt"
"7 AGE If LESS than 1 day, min.","7 AGE If LESS than 1 day, min.",1,"Brown, Thomas.txt"
7 AGE Mos,AGE_Months,1,"Blanks, James.txt"
7 AGE Mos.,AGE_Months,1,"Thomas, Joe.txt"
7 AGE Yrs,AGE_Years,1,"Blanks, James.txt"
7 AGE Yrs.,AGE_Years,1,"Thomas, Joe.txt"
"7 AGE de. or min.?,21","7 AGE de. or min.?,21",1,"Campbell, Francis.txt"
7 AGE ds. or min.?,7 AGE ds. or min.?,1,"Booze Jr, William.txt"
7 AGE hrs,7 AGE hrs,1,"Bacon, John Henry.txt"
7 AGE min,7 AGE min,1,"Bacon, John Henry.txt"
"7 AGE mos.,8",AGE_Months,1,"Campbell, Francis.txt"
7 AGE or min.,7 AGE or min.,1,"Preston, Daniel.txt"
"7 AGE yrs.,12",AGE_Years,1,"Campbell, Francis.txt"
7 Age (Days),7 Age (Days),1,"Jacobs, Edward.txt"
"7 Age (If LESS than 1 day, hrs. or min.?)","7 Age (If LESS than 1 day, hrs. or min.?)",1,"Jacobs, Edward.txt"
7 Age (Months),7 Age (Months),1,"Jacobs, Edward.txt"
7 Age (Years),7 Age (Years),1,"Jacobs, Edward.txt"
7. AGE - Hours (if less than 1 day),7. AGE - Hours (if less than 1 day),1,"Marshall, William.txt"
7. AGE - If LESS than 1 day,7. AGE - If LESS than 1 day,1,"Tyler, James.txt"
7. AGE - If LESS than 1 day - hrs,7. AGE - If LESS than 1 day - hrs,1,"Hunter, George W.txt"
7. AGE - If LESS than 1 day - min,7. AGE - If LESS than 1 day - min,1,"Hunter, George W.txt"
7. AGE - Less than 1 day - hrs,7. AGE - Less than 1 day - hrs,1,"Clayton, Paul.txt"
7. AGE - Less than 1 day - min,7. AGE - Less than 1 day - min,1,"Clayton, Paul.txt"
7. AGE - Minutes (if less than 1 day),7. AGE - Minutes (if less than 1 day),1,"Marshall, William.txt"
7. AGE IF LESS than 1 day,7. AGE IF LESS than 1 day,1,"Ames Jr, Fred .txt"
8 (a) Trade,8 (a) Trade,1,"Joffey, Benjamin.txt"
8 (b) General nature of industry,8 (b) General nature of industry,1,"Joffey, Benjamin.txt"
8 DATE OF BIRTH - Day,8 DATE OF BIRTH - Day,1,"Hill Jr, Samuel.txt"
8 DATE OF BIRTH - Month,8 DATE OF BIRTH - Month,1,"Hill Jr, Samuel.txt"
8 DATE OF BIRTH - Year,8 DATE OF BIRTH - Year,1,"Hill Jr, Samuel.txt"
"8 OCCUPATION (a) Trade, profession or particular kind of work,Farm Labor",Trade_profession_or_particular_kind_of_work_done,1,"Campbell, Francis.txt"
"8 OCCUPATION (b) General nature of industry business, or establishment in which employed (or employer)","8 OCCUPATION (b) General nature of industry business, or establishment in which employed (or employer)",1,"Dennis, Louis.txt"
"8 OCCUPATION (b) General nature of industry business, or establishment in which employed or (employer)","8 OCCUPATION (b) General nature of industry business, or establishment in which employed or (employer)",1,"Dennis, Irvin.txt"
"8 OCCUPATION (b) General nature of industry, business, or establishment in which employed or (employer)","8 OCCUPATION (b) General nature of industry, business, or establishment in which employed or (employer)",1,"Tilghman, John W.txt"
"8 OCCUPATION (b) General nature of industry, business, or establishment in which employed or (employer),","8 OCCUPATION (b) General nature of industry, business, or establishment in which employed or (employer),",1,"Campbell, Francis.txt"
8 OCCUPATION - (b) General nature at industry business,8 OCCUPATION - (b) General nature at industry business,1,"Jones, James.txt"
8 OCCUPATION - (b) General nature of industry,8 OCCUPATION - (b) General nature of industry,1,"Landman, Milton.txt"
8 Occupation (a),8 Occupation (a),1,"Jacobs, Edward.txt"
8 Occupation (b),8 Occupation (b),1,"Jacobs, Edward.txt"
8. OCCUPATION - (a) Kind of work,8. OCCUPATION - (a) Kind of work,1,"Marshall, William.txt"
8. OCCUPATION - (b) Industry/Employer,8. OCCUPATION - (b) Industry/Employer,1,"Marshall, William.txt"
8. OCCUPATION Trede,8. OCCUPATION Trede,1,"Williams, Frank.txt"
"9 BIRTHPLACE (State or country),Md",BIRTHPLACE__(State_or_country),1,"Campbell, Francis.txt"
9 BIRTHPLACE - (State or country),BIRTHPLACE__(State_or_country),1,"Landman, Milton.txt"
9 Birthplace (State or country),BIRTHPLACE__(State_or_country),1,"Jacobs, Edward.txt"
9. BIRTHPLACE (State or country),9. BIRTHPLACE (State or country),1,"Marshall, William.txt"
9. OCCUPATION Industry or business in which work was done,9. OCCUPATION Industry or business in which work was done,1,"Williams, Frank.txt"
ADDRESS (of Undertaker),ADDRESS (of Undertaker),1,"Booze Jr, William.txt"
AGE,AGE,1,"Hammond, Amos.txt"
AGE (Ds),AGE (Ds),1,"Wood, Sherman.txt"
AGE (If LESS than 1 day... hrs. OR... min. ?),AGE (If LESS than 1 day... hrs. OR... min. ?),1,"Dixon, Lee.txt"
AGE (If LESS than 1 day... hrs.),AGE (If LESS than 1 day... hrs.),1,"Kennard, Richard.txt"
AGE (If LESS than 1 day... min.),AGE (If LESS than 1 day... min.),1,"Kennard, Richard.txt"
AGE (If less than 1 day) Hours,AGE (If less than 1 day) Hours,1,"Dyson, Allen.txt"
AGE (If less than 1 day) Minutes,AGE (If less than 1 day) Minutes,1,"Dyson, Allen.txt"
AGE (Mos),AGE (Mos),1,"Wood, Sherman.txt"
AGE (OR min.?),AGE (OR min.?),1,"Hawkins, Ernest.txt"
AGE (Yrs),AGE (Yrs),1,"Wood, Sherman.txt"
AGE (ds.),AGE (ds.),1,"Kennard, Richard.txt"
AGE (hrs) (IF LESS than 1 day),AGE (hrs) (IF LESS than 1 day),1,"Dennis, Alfred.txt"
AGE (min) (IF LESS than 1 day),AGE (min) (IF LESS than 1 day),1,"Dennis, Alfred.txt"
AGE (mos.),AGE (mos.),1,"Kennard, Richard.txt"
AGE (yrs.),AGE (yrs.),1,"Kennard, Richard.txt"
AGE - Days,AGE - Days,1,"Jacobs, Edward(1).txt"
AGE - Months,AGE - Months,1,"Jacobs, Edward(1).txt"
AGE - Years,AGE - Years,1,"Jacobs, Edward(1).txt"
AGE - ds.,AGE - ds.,1,"Murray, Harvey E.txt"
AGE - mos.,AGE - mos.,1,"Murray, Harvey E.txt"
AGE - yrs.,AGE - yrs.,1,"Murray, Harvey E.txt"
AGE Days,AGE Days,1,"Chinn, Purnell.txt"
AGE IF LESS THAN 1 day,AGE IF LESS THAN 1 day,1,"Mines, Charles.txt"
AGE IF LESS THAN 1 day (Hours),AGE IF LESS THAN 1 day (Hours),1,"Thomas, Arthur.txt"
AGE IF LESS THAN 1 day (Minutes),AGE IF LESS THAN 1 day (Minutes),1,"Thomas, Arthur.txt"
AGE IF LESS THAN 1 day (hrs),AGE IF LESS THAN 1 day (hrs),1,"Cook, Roger.txt"
AGE IF LESS THAN 1 day (min),AGE IF LESS THAN 1 day (min),1,"Cook, Roger.txt"
AGE Months,AGE Months,1,"Chinn, Purnell.txt"
AGE Years,AGE Years,1,"Chinn, Purnell.txt"
AGE ds.,AGE ds.,1,"Mines, Charles.txt"
AGE mos.,AGE mos.,1,"Mines, Charles.txt"
AGE yrs.,AGE yrs.,1,"Mines, Charles.txt"
ATTENDED DECEASED FROM,ATTENDED DECEASED FROM,1,"Hawkins, Ernest.txt"
ATTENDED DECEASED FROM (Day 1),ATTENDED DECEASED FROM (Day 1),1,"Thomas, Arthur.txt"
ATTENDED DECEASED FROM (Month 1),ATTENDED DECEASED FROM (Month 1),1,"Thomas, Arthur.txt"
ATTENDED DECEASED FROM (Year 1),ATTENDED DECEASED FROM (Year 1),1,"Thomas, Arthur.txt"
ATTENDED DECEASED TO,ATTENDED DECEASED TO,1,"Hawkins, Ernest.txt"
ATTENDED DECEASED TO (Day 2),ATTENDED DECEASED TO (Day 2),1,"Thomas, Arthur.txt"
ATTENDED DECEASED TO (Month 2),ATTENDED DECEASED TO (Month 2),1,"Thomas, Arthur.txt"
ATTENDED DECEASED TO (Year 2),ATTENDED DECEASED TO (Year 2),1,"Thomas, Arthur.txt"
Accident,Accident,1,"Chinn, Purnell.txt"
Additional handwritten note,Additional handwritten note,1,"Murray, Harvey E.txt"
Address (Informant),Address (Informant),1,"Hammond, Amos.txt"
Address (M. D.),Address (M. D.),1,"Kennard, Richard.txt"
Address (M.D.),Address (M.D.),1,"Jones, Paul.txt"
Address (of Signer),Address (of Signer),1,"Booze Jr, William.txt"
Address (of person who signed),Address (of person who signed),1,"Carter, William Arthur.txt"
Address (under Signed),Address (under Signed),1,"Dennis, Irvin.txt"
Address (under Undertaker),Address (under Undertaker),1,"Dennis, Irvin.txt"
Attended deceased from (Month),Attended deceased from (Month),1,"Kennard, Richard.txt"
Attended deceased from (Year),Attended deceased from (Year),1,"Kennard, Richard.txt"
Attended deceased to (Day),Attended deceased to (Day),1,"Kennard, Richard.txt"
Attended deceased to (Month),Attended deceased to (Month),1,"Kennard, Richard.txt"
Attended deceased to (Year),Attended deceased to (Year),1,"Kennard, Richard.txt"
BIRTHPLACE OF FATHER,BIRTHPLACE OF FATHER,1,"Jacobs, Edward(1).txt"
BIRTHPLACE OF MOTHER,BIRTHPLACE OF MOTHER,1,"Jacobs, Edward(1).txt"
CAUSE OF DEATH (Duration ds.),CAUSE OF DEATH (Duration ds.),1,"Kennard, Richard.txt"
CAUSE OF DEATH (Duration mos.),CAUSE OF DEATH (Duration mos.),1,"Kennard, Richard.txt"
CAUSE OF DEATH (Duration yrs.),CAUSE OF DEATH (Duration yrs.),1,"Kennard, Richard.txt"
CAUSE OF DEATH (Primary Duration Ds),CAUSE OF DEATH (Primary Duration Ds),1,"Hill Jr, Samuel.txt"
CAUSE OF DEATH (Primary Duration Mos),CAUSE OF DEATH (Primary Duration Mos),1,"Hill Jr, Samuel.txt"
CAUSE OF DEATH (Primary Duration Yrs),CAUSE OF DEATH (Primary Duration Yrs),1,"Hill Jr, Samuel.txt"
CAUSE OF DEATH - Contributory Secondary,CAUSE OF DEATH - Contributory Secondary,1,"Marshall, William.txt"
CAUSE OF DEATH - Contributory Secondary Duration - Days,CAUSE OF DEATH - Contributory Secondary Duration - Days,1,"Marshall, William.txt"
CAUSE OF DEATH - Contributory Secondary Duration - Months,CAUSE OF DEATH - Contributory Secondary Duration - Months,1,"Marshall, William.txt"
CAUSE OF DEATH - Contributory Secondary Duration - Years,CAUSE OF DEATH - Contributory Secondary Duration - Years,1,"Marshall, William.txt"
CAUSE OF DEATH - Primary,CAUSE OF DEATH - Primary,1,"Marshall, William.txt"
CAUSE OF DEATH - Primary Duration - Days,CAUSE OF DEATH - Primary Duration - Days,1,"Marshall, William.txt"
CAUSE OF DEATH - Primary Duration - Months,CAUSE OF DEATH - Primary Duration - Months,1,"Marshall, William.txt"
CAUSE OF DEATH - Primary Duration - Years,CAUSE OF DEATH - Primary Duration - Years,1,"Marshall, William.txt"
CAUSE OF DEATH Duration (ds),CAUSE OF DEATH Duration (ds),1,"Cook, Roger.txt"
CAUSE OF DEATH Duration (mos),CAUSE OF DEATH Duration (mos),1,"Cook, Roger.txt"
CAUSE OF DEATH Duration (weeks),CAUSE OF DEATH Duration (weeks),1,"Cook, Roger.txt"
CAUSE OF DEATH Duration (yrs),CAUSE OF DEATH Duration (yrs),1,"Cook, Roger.txt"
CONTRIBUTORY (Secondary),CAUSE_OF_DEATH_Contributory_Secondary,1,"Jacobs, Edward(1).txt"
CONTRIBUTORY SECONDARY CAUSE,CAUSE_OF_DEATH_Contributory_Secondary,1,"Hawkins, Ernest.txt"
CONTRIBUTORY SECONDARY CAUSE DURATION (Days),CAUSE_OF_DEATH_Contributory_Secondary,1,"Hawkins, Ernest.txt"
CONTRIBUTORY SECONDARY CAUSE DURATION (Months),CAUSE_OF_DEATH_Contributory_Secondary,1,"Hawkins, Ernest.txt"
CONTRIBUTORY SECONDARY CAUSE DURATION (Years),CAUSE_OF_DEATH_Contributory_Secondary,1,"Hawkins, Ernest.txt"
CONTRIBUTORY SECONDARY CAUSE OF DEATH,CAUSE_OF_DEATH_Contributory_Secondary,1,"Thomas, Arthur.txt"
CONTRIBUTORY SECONDARY CAUSE OF DEATH (Duration Days),CAUSE_OF_DEATH_Contributory_Secondary,1,"Thomas, Arthur.txt"
CONTRIBUTORY SECONDARY CAUSE OF DEATH (Duration Months),CAUSE_OF_DEATH_Contributory_Secondary,1,"Thomas, Arthur.txt"
CONTRIBUTORY SECONDARY CAUSE OF DEATH (Duration Years),CAUSE_OF_DEATH_Contributory_Secondary,1,"Thomas, Arthur.txt"
Certificate Number (top right),Certificate Number (top right),1,"Hawkins, Ernest.txt"
Certifying Physician - Address,Certifying Physician - Address,1,"Hamilton, Arthur.txt"
Certifying Physician - Signed,Certifying Physician - Signed,1,"Hamilton, Arthur.txt"
Circled Number,Circled Number,1,"Blanks, James.txt"
Contributory (Duration - ds),Contributory (Duration - ds),1,"Tilghman, John W.txt"
Contributory (Duration - mos),Contributory (Duration - mos),1,"Tilghman, John W.txt"
Contributory (Duration - yrs),Contributory (Duration - yrs),1,"Tilghman, John W.txt"
Contributory (Duration),Contributory (Duration),1,"Jones, James.txt"
Contributory (Secondary) (Duration ds),CAUSE_OF_DEATH_Contributory_Secondary,1,"Bacon, John Henry.txt"
Contributory (Secondary) (Duration ds.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Jenkins, John F.txt"
Contributory (Secondary) (Duration mos),CAUSE_OF_DEATH_Contributory_Secondary,1,"Bacon, John Henry.txt"
Contributory (Secondary) (Duration mos.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Jenkins, John F.txt"
Contributory (Secondary) (Duration yrs),CAUSE_OF_DEATH_Contributory_Secondary,1,"Bacon, John Henry.txt"
Contributory (Secondary) (Duration yrs.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Jenkins, John F.txt"
Contributory (Secondary) - (Duration) ds.,CAUSE_OF_DEATH_Contributory_Secondary,1,"Landman, Milton.txt"
Contributory (Secondary) - (Duration) mos.,CAUSE_OF_DEATH_Contributory_Secondary,1,"Landman, Milton.txt"
Contributory (Secondary) - (Duration) yrs.,CAUSE_OF_DEATH_Contributory_Secondary,1,"Landman, Milton.txt"
Contributory (Secondary) Cause of Death,CAUSE_OF_DEATH_Contributory_Secondary,1,"Wood, Sherman.txt"
Contributory (Secondary) Cause of Death Duration (ds),CAUSE_OF_DEATH_Contributory_Secondary,1,"Wood, Sherman.txt"
Contributory (Secondary) Cause of Death Duration (mos),CAUSE_OF_DEATH_Contributory_Secondary,1,"Wood, Sherman.txt"
Contributory (Secondary) Cause of Death Duration (yrs),CAUSE_OF_DEATH_Contributory_Secondary,1,"Wood, Sherman.txt"
Contributory (Secondary) Duration ds.,CAUSE_OF_DEATH_Contributory_Secondary,1,"Brown, Thomas.txt"
Contributory (Secondary) Duration mos.,CAUSE_OF_DEATH_Contributory_Secondary,1,"Brown, Thomas.txt"
Contributory (Secondary) Duration yrs.,CAUSE_OF_DEATH_Contributory_Secondary,1,"Brown, Thomas.txt"
Contributory Secondary (Duration - days),CAUSE_OF_DEATH_Contributory_Secondary,1,"Jones, Paul.txt"
Contributory Secondary (Duration - ds.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Dickerson, Ira.txt"
Contributory Secondary (Duration - months),CAUSE_OF_DEATH_Contributory_Secondary,1,"Jones, Paul.txt"
Contributory Secondary (Duration - mos.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Dickerson, Ira.txt"
Contributory Secondary (Duration - years),CAUSE_OF_DEATH_Contributory_Secondary,1,"Jones, Paul.txt"
Contributory Secondary (Duration - yrs.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Dickerson, Ira.txt"
Contributory Secondary (Duration ds.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Kennard, Richard.txt"
Contributory Secondary (Duration mos.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Kennard, Richard.txt"
Contributory Secondary (Duration yrs.),CAUSE_OF_DEATH_Contributory_Secondary,1,"Kennard, Richard.txt"
Contributory Secondary (Duration) (Days),CAUSE_OF_DEATH_Contributory_Secondary,1,"Wall, Jesse.txt"
Contributory Secondary (Duration) (Months),CAUSE_OF_DEATH_Contributory_Secondary,1,"Wall, Jesse.txt"
Contributory Secondary (Duration) (Years),CAUSE_OF_DEATH_Contributory_Secondary,1,"Wall, Jesse.txt"
Contributory Secondary - (Cause),CAUSE_OF_DEATH_Contributory_Secondary,1,"White, Matthew.txt"
Contributory Secondary - (Duration) da.,CAUSE_OF_DEATH_Contributory_Secondary,1,"White, Matthew.txt"
